product_name,category,sub_category,product_id
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,00001
"Novimex Executive Leather Armchair, Black",Furniture,Chairs,00002
"Nokia Smart Phone, with Caller ID",Technology,Phones,00003
"Motorola Smart Phone, Cordless",Technology,Phones,00004
"Sharp Wireless Fax, High-Speed",Technology,Copiers,00005
"Samsung Smart Phone, with Caller ID",Technology,Phones,00006
"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,00007
"Chromcraft Conference Table, Fully Assembled",Furniture,Tables,00008
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,00009
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,00010
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,00011
"Bevis Conference Table, Fully Assembled",Furniture,Tables,00012
"Cisco Smart Phone, with Caller ID",Technology,Phones,00013
"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,00014
"KitchenAid Microwave, White",Office Supplies,Appliances,00015
"Breville Refrigerator, Red",Office Supplies,Appliances,00016
Logitech diNovo Edge Keyboard,Technology,Accessories,00017
"Hoover Stove, Red",Office Supplies,Appliances,00018
"Brother Fax Machine, High-Speed",Technology,Copiers,00019
"KitchenAid Stove, White",Office Supplies,Appliances,00020
"Hon Computer Table, with Bottom Storage",Furniture,Tables,00021
Apple iPhone 5S,Technology,Phones,00022
"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,00023
"KitchenAid Refrigerator, Black",Office Supplies,Appliances,00024
"Motorola Smart Phone, Full Size",Technology,Phones,00025
"Hon Computer Table, Fully Assembled",Furniture,Tables,00026
"Lesro Conference Table, with Bottom Storage",Furniture,Tables,00027
Apple iPhone 5,Technology,Phones,00028
"Office Star Executive Leather Armchair, Red",Furniture,Chairs,00029
"Samsung Smart Phone, VoIP",Technology,Phones,00030
"Okidata Inkjet, Wireless",Technology,Machines,00031
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,00032
"Breville Stove, Red",Office Supplies,Appliances,00033
Bretford Rectangular Conference Table Tops,Furniture,Tables,00034
"Apple Smart Phone, Full Size",Technology,Phones,00035
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,00036
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,00037
"Brother Fax Machine, Laser",Technology,Copiers,00038
"Motorola Smart Phone, with Caller ID",Technology,Phones,00039
"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,00040
"Cuisinart Stove, Silver",Office Supplies,Appliances,00041
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,00042
"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,00043
"Novimex Executive Leather Armchair, Red",Furniture,Chairs,00044
"Konica Inkjet, White",Technology,Machines,00045
"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,00046
"Canon Copy Machine, Color",Technology,Copiers,00047
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,00048
"Safco Classic Bookcase, Pine",Furniture,Bookcases,00049
"Hewlett Wireless Fax, Color",Technology,Copiers,00050
Canon PC940 Copier,Technology,Copiers,00051
"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,00052
"Breville Refrigerator, White",Office Supplies,Appliances,00053
Samsung Galaxy Mega 6.3,Technology,Phones,00054
"Safco Classic Bookcase, Metal",Furniture,Bookcases,00055
Zebra ZM400 Thermal Label Printer,Technology,Machines,00056
"Samsung Smart Phone, Cordless",Technology,Phones,00057
"Apple Audio Dock, with Caller ID",Technology,Phones,00058
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,00059
"Chromcraft Wood Table, Rectangular",Furniture,Tables,00060
"Chromcraft Round Table, Rectangular",Furniture,Tables,00061
"Hamilton Beach Microwave, Black",Office Supplies,Appliances,00062
"Bevis Conference Table, with Bottom Storage",Furniture,Tables,00063
"Nokia Smart Phone, Full Size",Technology,Phones,00064
"Apple Smart Phone, Cordless",Technology,Phones,00065
"Brother Ink, Color",Technology,Copiers,00066
"Sharp Wireless Fax, Digital",Technology,Copiers,00067
"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,00068
"Canon Wireless Fax, Laser",Technology,Copiers,00069
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,00070
"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances,00071
"Hoover Stove, White",Office Supplies,Appliances,00072
"Brother Wireless Fax, Laser",Technology,Copiers,00073
